sex,beers,hotwings
male,4,4
male,4,10
male,3,18
male,2,9
male,4,12
male,4,10
male,4,15
male,0,12
male,7,14
male,3,16
male,4,14
male,5,13
male,6,14
male,3,9
male,6,14
male,1,3
male,6,13
male,3,8
male,5,7
male,4,14
male,5,20
male,4,14
male,6,7
male,2,19
male,6,13
male,6,10
male,3,11
male,1,25
male,2,23
male,3,15
male,2,6
male,4,5
male,5,16
male,2,4
male,3,17
male,3,5
male,3,18
male,6,8
male,3,18
male,4,9
female,1,10
female,5,5
female,2,3
female,3,12
female,2,12
female,2,7
female,2,12
female,3,11
female,2,5
female,1,3
female,2,6
female,3,13
female,1,6
female,1,6
female,2,8
female,0,6
female,1,6
female,4,1
female,2,9
female,2,8
female,1,10
female,0,6
female,0,6
female,1,6
female,0,7
female,3,0
female,3,7
female,2,12
female,1,9
female,1,11
female,1,11
female,3,6
female,4,12
female,2,9
female,1,1
female,3,8
female,5,3
female,2,5
female,4,10
female,4,11
